Iteración 1: Delay: 0.000 ms, Th: 2.09 Mbits/sec, Pérdida de paquetes: 761/895 (0%)
Iteración 2: Delay: 0.000 ms, Th: 2.10 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 3: Delay: 0.000 ms, Th: 2.09 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 4: Delay: 0.000 ms, Th: 2.04 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 5: Delay: 0.000 ms, Th: 2.10 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 6: Delay: 0.000 ms, Th: 2.04 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 7: Delay: 0.000 ms, Th: 2.17 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 8: Delay: 0.000 ms, Th: 2.10 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 9: Delay: 0.000 ms, Th: 2.10 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 10: Delay: 0.000 ms, Th: 2.08 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 11: Delay: 0.000 ms, Th: 2.09 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 12: Delay: 0.000 ms, Th: 2.09 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 13: Delay: 0.000 ms, Th: 2.10 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 14: Delay: 0.000 ms, Th: 2.18 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 15: Delay: 0.000 ms, Th: 2.20 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 16: Delay: 0.000 ms, Th: 2.10 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 17: Delay: 0.000 ms, Th: 2.00 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 18: Delay: 0.000 ms, Th: 2.13 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 19: Delay: 0.000 ms, Th: 2.02 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 20: Delay: 0.000 ms, Th: 2.10 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 21: Delay: 0.000 ms, Th: 2.17 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 22: Delay: 0.000 ms, Th: 2.09 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 23: Delay: 0.000 ms, Th: 2.10 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 24: Delay: 0.000 ms, Th: 2.12 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 25: Delay: 0.000 ms, Th: 2.14 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 26: Delay: 0.000 ms, Th: 2.11 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 27: Delay: 0.000 ms, Th: 2.13 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 28: Delay: 0.000 ms, Th: 2.09 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 29: Delay: 0.000 ms, Th: 2.10 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
Iteración 30: Delay: 0.000 ms, Th: 2.12 Mbits/sec, Pérdida de paquetes: 0/895 (0%)
